"","ENTREES","Genre","copies","DEVIS","distrib","produc","origine","AE","RD","coc","rang","duree","cannes","regard","quinzaine","venise","berlin","critlegit","critpopu","nbcritiques","rk_entrees","rk_copies","rk_devis","categ.copies"
"9301",1106598,"Autre",480,49020000,"majorUS","majorUS","USA","1","0","TP",44,96,"0","0","0","0","0",4.16666666666667,4,0.933333333333333,92.1663341384018,93.1391854078143,89.2296718972896,"[400,600)"
"9302",1390677,"Action",533,147060000,"majorUS","5","EUROPE","0","0","TP",6,110,"0","0","0","0","0",2,4,0.333333333333333,94.0144912317547,94.8440252875946,98.8676890156919,"[400,600)"
"9303",443111,"Comédie",187,NA,"majorUS","5","USA","0","0","TP",2,110,"0","0","0","0","0",2.5,2.25,0.4,82.4320067205713,72.8935640999067,NA,"[100,200)"
"9304",101413,"Autre",179,7843200,"majorUS","5","USA","0","0","TP",1,125,"0","0","0","0","0",2.5,2.66666666666667,0.8,62.3122965452063,71.9141879987563,56.3391583452211,"[100,200)"
"9305",1021690,"Animation",487,NA,"majorUS","5","USA","0","0","TP",1,87,"0","0","0","0","0",2,2.66666666666667,0.6,91.4942770135462,93.3464607731371,NA,"[400,600)"
"9306",2515950,"Action",822,NA,"majorUS","majorUS","USA","1","0","TPA",7,151,"0","0","0","0","0",2,2.33333333333333,0.733333333333333,97.3222723931534,99.264172453104,NA,"[600,1100]"
"9307",694773,"Horreur",191,4085000,"majorUS","5","USA","0","0","12",1,81,"0","0","0","0","0",2.33333333333333,2.5,0.466666666666667,87.7769610416885,73.3392061353508,41.3338088445078,"[100,200)"
"9308",266712,"Sci-Fi",170,14706000,"majorUS","majorUS","USA","1","0","TP",4,112,"0","0","0","0","1",4.2,5,0.933333333333333,75.4174104798908,70.8933568245414,69.6059201141227,"[100,200)"
"9309",319020,"ComDram",171,NA,"majorUS","5",NA,"0","0","TP",5,97,"0","0","0","0","0",1.5,1,0.333333333333333,77.727606846582,71.0436314644005,NA,"[100,200)"
"9310",136027,"Drame",30,16340000,"majorUS","majorUS","EUROPE","0","0","TP",1,110,"0","0","0","0","0",3,3.33333333333333,0.266666666666667,66.2501312611572,41.0975230593844,72.0042796005706,"[20,50)"
"9311",2302437,"Action",667,142975000,"majorUS","5","USA","0","0","TPA",6,123,"0","0","0","0","0",1.33333333333333,2.5,0.466666666666667,96.9337393678463,97.6422427194528,98.6804564907275,"[600,1100]"
